Rk,Player,Nation,Pos,Squad,Born,Min,CrdY,Ast,G-PK,xG,xA,npxG,npxG+xA,Sh/90,SoT/90,G/SoT,TotCmp%,TotDist,PrgDist,ShortCmp%,MedCmp%,LongCmp%,Prog,Live,Dead,TB,Press,Sw,Crs,Ground,Low,High,Left,Right
1,Brenden Aaronson\Brenden-Aaronson,us USA,MFFW,Philadelphia,2000,1706,3,0.05,0.16,0.19,0.11,0.19,0.31,1.85,0.47,0.33,77.9,7391,1578,36.4,84.2,51.6,58,594,39,5,130,21,39,507,63,63,57,544
2,Saad Abdul-Salaam\Saad-Abdul-Salaam,us USA,DF,Seattle,1991,1067,2,0,0,0.01,0.06,0.01,0.08,0.17,0,,79.7,8699,3225,0,87.2,67.1,54,449,102,1,83,12,8,362,83,106,85,334
3,Lalas Abubakar\Lalas-Abubakar,gh GHA,DF,Columbus,1994,90,0,0,0,0.12,0,0.12,0.12,2,1,0,94.3,1170,447,,90.3,100,6,52,1,0,5,1,0,46,5,2,3,46
4,Lalas Abubakar\Lalas-Abubakar,gh GHA,DF,Colorado,1994,1980,7,0,0,0.05,0,0.05,0.06,0.55,0.18,0,85.6,13322,5222,41.7,92.2,78.1,35,663,18,0,69,27,0,455,83,143,34,584
5,David Accam\David-Accam,gh GHA,FWMF,Columbus,1990,667,1,0.13,0.27,0.16,0.13,0.16,0.3,2.02,0.81,0.33,73.9,1823,472,25,85.5,43.8,19,146,11,1,33,5,7,106,30,21,21,117
6,David Accam\David-Accam,gh GHA,FW,Philadelphia,1990,338,0,0.53,1.07,0.59,0.06,0.59,0.64,2.93,1.86,0.57,77.6,882,240,40,88.5,30,6,75,1,0,17,1,2,56,16,4,11,61
7,Bryan Acosta\Bryan-Acosta,hn HON,MF,FC Dallas,1993,2073,12,0.04,0.09,0.09,0.1,0.09,0.19,2.21,0.48,0.18,85.3,31718,8013,31,92.5,75.9,131,1506,145,6,252,110,48,1143,169,339,187,1380
8,Danilo Acosta\Danilo-Acosta,us USA,DF,Orlando City,1997,667,1,0,0,0.01,0.05,0.01,0.06,0.13,0,,70.2,4612,1657,23.1,82.9,47.1,31,285,64,0,48,9,25,201,53,95,264,16
9,Kellyn Acosta\Kellyn-Acosta,us USA,MF,Colorado,1995,2615,10,0.03,0.07,0.05,0.08,0.05,0.13,1.17,0.45,0.15,80.6,15206,4609,33.3,86.6,68.7,108,960,55,3,171,25,37,709,160,146,306,651
10,Luciano Acosta\Luciano-Acosta,ar ARG,MFFW,D.C. United,1994,2122,0,0.04,0.25,0.19,0.12,0.19,0.31,2.42,0.72,0.35,74.3,18120,5937,24.5,81.9,60,163,1273,83,12,259,65,72,938,182,236,234,1063
11,Mo Adams\Mo-Adams,eng ENG,DFMF,Atlanta,1996,93,1,0,0.97,0.15,0.1,0.15,0.25,1.94,1.94,0.5,86.4,966,387,0,91.5,88.9,9,55,4,0,6,0,1,43,11,5,7,47
12,Mo Adams\Mo-Adams,eng ENG,MF,Chicago,1996,487,4,0,0,0.01,0.07,0.01,0.08,0.18,0,,85.7,2681,651,57.1,91.1,65.6,11,190,6,0,30,1,1,154,17,25,22,166
13,Fanendo Adi\Fanendo-Adi,ng NGA,FW,FC Cincinnati,1990,700,1,0,0.13,0.42,0.01,0.42,0.43,2.7,0.64,0.2,75,1860,235,62.5,76.2,72.7,9,137,23,0,39,4,2,97,32,31,23,100
