,Player,cluster,x,y
0,Brenden Aaronson,0,-13428.944400864902,837.8329395764999
1,Saad Abdul-Salaam,0,-10936.934662801414,-782.2478236457348
2,Lalas Abubakar,2,-3834.6027510927124,-1322.003425581398
3,Bryan Acosta,3,22091.345711332913,3460.5693580569914
4,Kellyn Acosta,2,-1569.8520300597759,395.02225059406663
5,Luciano Acosta,2,2968.286003545817,-4.4815133679916475
6,Ali Adnan Kadhim,1,7824.817661562181,-1616.1419394492616
7,Harrison Afful,2,2552.5356780922675,-2050.651465058625
8,Juan Agudelo,0,-8942.070319942302,710.5498262962973
9,Tesho Akindele,0,-14261.199740812623,1181.0194860564336
10,Osvaldo Alonso,1,16930.325538870948,1357.86887119117
11,Jozy Altidore,0,-14714.257250860304,1084.8119500730634
12,Fabio Álvarez,0,-10338.465352103389,1285.9363107986555
13,Frankie Amaya,0,-10901.994918498722,719.0144213982516
14,Michael Amir Murillo,2,-6696.593784563628,-3804.5483769511343
15,Jalil Anibaba,0,-8122.660398320063,-1654.2217280419297
16,Uriel Antuna,0,-9479.482850382356,1065.1238835350277
17,Luis Argudo,0,-15363.401173363976,380.0251096247298
18,Xavier Arreaga,2,-5953.651678464427,-450.83501050555924
19,Paul Arriola,2,-6305.779863720961,50.80013216215344
20,Artur,1,16038.53635119567,3608.031056360439
21,Carlos Ascues,0,-15369.12261048249,234.41585950005745
22,Eduard Atuesta,3,34249.40005221913,1235.1772216143095
23,Auro,1,5850.332517841978,-687.3200280299135
24,Micheal Azira,0,-7810.551166486433,1286.3302572969685
25,Dominique Badji,0,-15657.428471134563,1172.1434761375758
26,Corey Baird,0,-11184.461521866286,1139.1528318264236
27,Botond Baráth,1,6113.116251273652,1080.5212682939075
28,Michael Barrios,2,-4816.446357076507,284.34888334992814
29,Cole Bassett,0,-13803.796364638038,702.9729882534969
30,DaMarcus Beasley,0,-8650.992338835826,-1108.0378710915213
31,Kyle Beckerman,1,10064.473967223257,2209.009688397848
32,Alejandro Bedoya,1,10723.868181903703,1772.4314790616413
33,Steven Beitashour,2,2468.339169325316,206.17817249262905
34,Leonardo Bertone,1,5304.387846370297,978.4017157780346
35,Matt Besler,3,20202.01986812634,-1270.6958497643272
36,Steve Birnbaum,1,12409.60749759312,-3109.4735526107947
37,Tristan Blackmon,2,1078.0548456932818,-1652.237487448089
38,Sebastián Blanco,1,15479.493213160526,-2009.2629855192629
39,Latif Blessing,1,7197.879802581278,1233.6742783175634
40,Gustavo Bou,0,-15998.473218040093,0.9298993833817663
41,Michael Boxall,2,2390.428595213427,-294.63458501261135
42,Michael Bradley,3,32271.645497938327,465.4799990792457
43,Bressan,2,-3846.055049883511,-753.4827788927358
44,Frédéric Brillant,1,11587.930332658818,-2402.9524784733294
45,Brandt Bronico,2,-4041.380404103435,652.9528165474519
46,Teal Bunbury,0,-14581.91109550403,904.9065094090774
47,Brandon Bye,2,1488.9797430160163,-4952.681096329931
48,Víctor Cabrera,2,996.8499473954595,-608.4261172401632
49,Luís Caicedo,2,-983.6978816130289,218.31774921151379
50,Scott Caldwell,0,-11052.397202146438,-111.05982891685791
51,Alexander Callens,1,12815.636682467788,-1851.9721363332917
52,Francisco Calvo,1,11756.680021959315,-3307.777190586247
53,Rudy Camacho,1,5889.195911037939,410.07323213061034
54,Reggie Cannon,2,4063.332939821343,419.0433805459859
55,Russell Canouse,1,4601.796375743614,805.8872332407083
56,Julio Cascante,2,-5593.472441751422,-1030.9098673871283
57,Cristian Cásseres,0,-8796.228021903522,-1086.3084586872362
58,Valentín Castellanos,0,-16178.756274713402,408.48031897083325
59,Edgar Castillo,2,-5104.950698570063,-3095.3089805831155
60,Maxime Chanot,3,21781.72175836796,-370.56966958393076
61,Diego Chará,3,24055.72532851031,1377.7306801057723
62,Laurent Ciman,2,1574.0497912389474,-31.84983997301188
63,Derek Cornelius,2,-5651.017560904672,-0.06473300822674607
64,Joe Corona,1,13193.35933608227,1686.0930464602172
65,Yohan Croizet,0,-13468.945185323646,-184.56255706206755
66,Allan Cruz,0,-14912.064201734378,56.679435249277
67,Harold Cummings,2,3288.8861055509337,-756.0608217964041
68,Sean Davis,1,5948.660886584114,-1540.8448245471186
69,A.J. DeLaGarza,2,-145.33281789171178,-332.53987991938953
70,Antonio Delamea Mlinar,2,-7105.927798496428,-508.3495162917872
71,Jordy Delem,0,-7977.333494828428,-28.76912669476983
72,Nick DeLeon,2,-5742.621564563578,1083.8321470997469
73,Marky Delgado,1,17811.98729081742,1172.9714111168537
74,Mathieu Deplagne,1,10410.25223509321,-1801.3517515455237
75,Zakaria Diallo,1,16566.523740253393,-1348.9553775368142
76,Claude Dielna,2,-6586.131279495078,-685.7448586418342
77,Adama Diomande,0,-18400.278039219545,306.97669664441656
78,Jonathan dos Santos,3,32894.685721762005,879.0195221962244
79,Hassani Dotson,0,-10379.791439535653,71.99480883480777
80,Kyle Duncan,0,-13467.20632276742,-2574.713978939761
81,Dom Dwyer,0,-20216.465595091347,224.65788861412042
82,Jeremy Ebobisse,0,-13245.659165066612,1243.2935443136532
83,Alberth Elis,0,-14862.479489616679,-60.776143197394724
84,Jack Elliott,3,26180.853991741937,-1959.9698907867137
85,Jon Erice,1,5220.747767664344,-416.157762329942
86,Magnus Eriksson,1,14368.174217404778,1815.5454947075925
87,Franco Escobar,2,3755.4905548434685,774.7499790876373
88,Cristian Espinoza,1,5127.073614260633,1493.4544832283316
89,Roger Espinoza,0,-12786.965570796694,306.8927718315889
90,Marco Fabián,2,-7218.655476645713,1649.4111101636788
91,Diego Fagúndez,0,-12578.589271397712,-67.96720719849348
92,Andrew Farrell,1,7012.992389877161,-4140.945276750997
93,Benny Feilhaber,0,-10096.460592982452,518.7986785728644
94,Felipe,0,-9443.364585324345,1333.5947519453446
95,Rolf Feltscher,2,3372.4197279295363,-2339.8482888150934
96,Gerso Fernandes,0,-16893.54394749516,99.19473046823524
97,Brian Fernández,0,-18216.520697237964,430.9914969719213
98,Juan Fernando Caicedo,0,-20061.346356073267,297.3614072641296
99,Jesus Ferreira,2,-5382.556274968509,2068.962700420673
100,Marcelo dos Santos Ferreira,0,-10454.07158128109,-910.6821606135853
101,Maynor Figueroa,1,16152.031227824007,-3332.7650253439774
102,Ethan Finlay,0,-17271.498774361604,-168.22597649513799
103,Waylon Francis,2,-4973.618000774196,-1937.430858377527
104,Przemysław Frankowski,2,-3442.589744162391,574.4290152158535
105,Ray Gaddis,1,11859.102711092453,640.3895204960606
106,Nicolás Gaitán,2,-4120.692914263777,-278.357403775267
107,Boniek García,1,8922.901875176069,2835.1846072316166
108,Chase Gasper,0,-8244.932475478981,-1334.3950537566616
109,Carles Gil,3,23349.520846713414,-520.7046866095211
110,Justen Glad,1,7336.773453827611,-1694.8374882960247
111,Aníbal Godoy,2,502.2357469051747,2461.820056804776
112,Erik Godoy,1,14285.276626732768,-1951.7791658756726
113,Leandro González Pirez,3,36861.717618425275,-1901.5118007939789
114,Giancarlo González,0,-8967.378661997087,-438.09882318621663
115,Omar Gonzalez,2,-2085.783263850955,-435.46741511180716
116,Ján Greguš,3,23517.817895627533,1707.2120426091956
117,Julian Gressel,1,8842.002645840359,-1010.9620461702692
118,Felipe Gutiérrez,1,15363.81746655919,2371.102754114933
119,David Guzmán,2,-5160.792664068994,1150.0451350548153
120,Nick Hagglund,2,3766.8977246212316,-1426.2305284585505
121,Jordan Harvey,1,8299.703632658513,-769.2405579042628
122,Héber,0,-15647.930595622558,897.9039504320814
123,Matt Hedges,3,33506.7877877289,-3462.525544609405
124,Doneil Henry,2,1928.7838820298043,-1522.7018948952993
125,Aaron Herrera,1,16129.336583295555,-1138.6360065530507
126,Federico Higuaín,2,-5174.276071983985,39.94237169582255
127,Danny Hoesen,0,-17441.742530991676,214.12263797797138
128,Ryan Hollingshead,1,16395.319557349656,-101.2192460424748
129,Justin Hoyte,2,-2223.046763493044,-408.8289852667761
130,Miguel Ibarra,0,-12264.418636810504,511.7207248942783
131,Sebastien Ibeagha,0,-9371.761960163543,-420.6656375067753
132,Zlatan Ibrahimović,2,-6502.373879356398,852.6107099400284
133,Ilsinho,0,-10669.339538788014,297.86165399604886
134,Hwang In-beom,3,20216.90167776944,3426.432278803723
135,Robin Jansson,1,4466.690552197892,-1542.5692081073598
136,Leonardo Jara,2,3946.1654884262643,-96.49239274556196
137,Hector Jiménez,2,-3370.7629824786154,-1569.318601643775
138,Sam Johnson,0,-19483.64589557464,341.73073614048656
139,Will Johnson,2,-1975.5093891973534,1917.1818832307547
140,DeJuan Jones,0,-14104.03998438864,-872.8383745271423
141,Judson,1,9082.03680320285,2676.0478925719644
142,Florian Jungwirth,3,31113.742376247737,707.3296838101592
143,Kaku,2,181.4872664264621,-2226.6905403277724
144,Brent Kallman,2,-6435.3994503303265,-262.2131824152895
145,Kei Kamara,0,-11650.175486428312,1346.5558942248897
146,Johan Kappelhof,2,3066.2593523306537,217.86893047989497
147,Guram Kashia,1,16106.935594066716,-1632.3075013104976
148,Aleksandar Katai,2,-6115.155387661364,727.8533362730686
149,Mark-Anthony Kaye,3,20590.783951257392,534.972764864006
150,Kim Kee-hee,1,13914.840095516425,-522.9108285013078
151,Sacha Kljestan,2,-5597.081570501537,615.3810456169327
152,Damir Kreilach,1,8784.394584004798,3812.663198318318
153,Roland Lamah,0,-11297.312192665286,576.5624877962894
154,Jeff Larentowicz,2,-5868.683770153196,1428.9603730516337
155,Richie Laryea,0,-9298.57979735427,493.46445540533693
156,Kemar Lawrence,0,-8214.008260049775,-2123.635072479481
157,Emmanuel Ledesma,0,-10160.380810917612,-160.342872334482
158,Kelvin Leerdam,1,5694.727870138636,-695.482763090365
159,Brooks Lennon,2,-3389.17368600303,-896.0020879346597
160,Nick Lima,2,-3184.6915333694983,658.6983951879971
161,Sebastian Lletget,1,7670.466903050973,3468.605660347101
162,Nicolás Lodeiro,3,20512.65315744562,623.294192080112
163,Aaron Long,2,-6199.069209534116,-2667.0496920356895
164,Marcos López,2,-5767.351478335042,110.56408524357714
165,Daniel Lovitz,1,9796.395559747787,-1598.4988151468604
166,Jorge Luis Corrales,0,-10981.404399395873,-953.0622069246833
167,Everton Luiz,2,-2924.464113549747,1830.5973083817362
168,Adam Lundqvist,1,6546.210224772707,-341.2041425487334
169,Larrys Mabiala,2,-215.43012005025065,-408.6207763043315
170,Michael Mancienne,0,-9288.46129808509,-234.68274922935822
171,Kekuta Manneh,0,-15716.40958806624,630.1594349788168
172,Mauro Manotas,0,-12054.976204599672,1318.6299667581895
173,Josef Martínez,0,-12759.903549133396,1402.889934599734
174,Tomás Martínez,2,-963.8011535997143,1068.5766570878536
175,Rónald Matarrita,1,5487.7266094530405,-2267.206790496109
176,Darren Mattocks,0,-19189.355775139033,120.48167050848589
177,Chris Mavinga,1,7682.72681416603,165.1228322957338
178,Dax McCarty,3,24267.1168078202,2538.0170230322587
179,Thomas McNamara,0,-13075.635433925963,353.9014537857301
180,Haris Medunjanin,3,45585.478513763155,-2494.3457411763925
181,Jhegson Méndez,1,10144.487000489147,2004.8760958808302
182,Jonathan Mensah,1,12072.647388418278,-1659.092841198505
183,Justin Meram,0,-11410.000602467024,-556.5387827715084
184,Romain Métanire,1,10562.047878755799,-4756.055249888873
185,Nicolás Mezquida,0,-11461.339985799828,260.3203822876759
186,Djordje Mihailovic,2,-6988.584299350588,37.53541050928731
187,Kamal Miller,2,-7343.594021496566,-1556.3048777709478
188,Alexandru Mitriță,0,-8830.215354828544,-1339.7904322365764
189,Jamiro Monteiro,1,7397.029858230894,1394.857913335425
190,Fredy Montero,0,-11428.548142427446,-117.29789118450152
191,Drew Moor,2,-6054.039030956843,-1135.8750239013962
192,Joseph Mora,0,-10363.996113251987,-1728.8274020971237
193,Maximiliano Moralez,1,14047.899261472152,152.28985539955355
194,Jorge Moreira,1,12576.994506243473,-1985.0207668116614
195,Junior Moreno,1,16256.169488336953,1770.8675069929654
196,Jordan Morris,0,-11861.22235961184,890.286441175043
197,Justin Morrow,2,3753.563945685028,1242.9622014920785
198,João Moutinho,0,-7735.5853136595815,-1397.0738466238083
199,Christopher Mueller,0,-12003.179083533087,381.8910332173917
200,Alex Muyl,0,-14963.397771630573,-973.0153602411079
201,Darlington Nagbe,3,19978.625923585136,5105.198802281655
202,Nani,1,4703.524272336447,-1051.273293977563
203,Krisztián Németh,0,-17150.201384575204,893.2238055911533
204,Jake Nerwinski,2,-3162.8823335081247,-730.2000773214095
205,Lee Nguyen,2,-3723.17790728892,1737.3984199352583
206,Sam Nicholson,0,-15641.794003346598,-190.9728718925114
207,Gonzalo Nicolás Martínez,2,1455.3251889084395,153.49151544207666
208,Nemanja Nikolić,0,-16319.070428385068,1149.6874407673074
209,Ebenezer Ofori,2,-6596.602563099106,1271.523013276859
210,Orji Okwonkwo,0,-14896.53109062856,1259.4760394890986
211,Nedum Onuoha,1,5232.363719351072,794.0122295810512
212,Ike Opara,2,2926.3809330439412,-1061.3406840857278
213,Jonathan Osorio,2,-3241.8928176910304,1385.020773953455
214,Cristhian Paredes,2,-5102.871018251985,1327.3279159377103
215,Tim Parker,2,-2268.569269029597,-3959.6185220284488
216,Michael Parkhurst,2,-1898.7033663083669,-99.1510817732192
217,Keaton Parks,2,-1109.7294431793894,445.20815913201733
218,Cristian Penilla,0,-10468.877593511117,-642.4395350232934
219,Fafà Picault,0,-13818.538756470289,1175.2160838059317
220,Samuel Piette,1,13273.631818504293,4362.633334208025
221,Diego Polenta,1,15001.209034697496,-4349.949975876046
222,Andy Polo,0,-11022.856260127504,765.7555194164062
223,Paxton Pomykal,2,849.227783008395,1541.569499894042
224,Alejandro Pozuelo,1,14761.615156670681,1532.163121507578
225,Jack Price,1,11893.33035829108,-744.4868385409621
226,Kacper Przybyłko,0,-11288.307998683467,2222.416367875165
227,Valeri Qazaishvili,2,-6461.136560160595,1288.8232932407789
228,Darwin Quintero,2,-5444.349491590954,-860.4955952506779
229,Jukka Raitala,1,9661.25843035292,-655.9523216899489
230,Eric Remedi,1,8303.17636136779,3258.0674738922717
231,Yordy Reyna,0,-10255.758832936921,329.46344304215194
232,Alexander Ring,3,29687.529910138837,1796.404807434898
233,Robinho,0,-17556.246923645904,380.12897166720205
234,Miles Robinson,3,30916.719201768447,1982.4836677841809
235,Angelo Rodríguez,0,-18789.226415596546,305.09762221425274
236,Lucas Rodríguez,2,-2326.8040201558247,2161.810735022742
237,Memo Rodriguez,0,-13335.872750093426,-432.4947252874196
238,Víctor Rodríguez,0,-13818.263255231093,-249.2256356069385
239,Cristian Roldan,1,16789.220176705043,2957.853164042717
240,Wayne Rooney,1,6080.931587390732,454.74235076453516
241,Andy Rose,2,-1545.9888347790827,1191.1072276667908
242,Oriol Rosell,2,1224.0013861366044,1229.2735290892556
243,Keegan Rosenberry,1,13286.952048012647,-4810.013104475525
244,Diego Rossi,2,-3744.776738021535,1925.6661806234688
245,Daniel Royer,0,-12266.864758657579,-781.7738692839285
246,Ruan,2,-5090.568420047365,-828.2259405975241
247,Diego Rubio,0,-9869.839018646982,294.7002537668252
248,Raúl Ruidíaz,0,-16207.437182404537,968.3601254827355
249,Albert Rusnák,1,7308.858469740669,2340.5620098224977
250,Johnny Russell,2,-6111.417069777043,-509.12375313829693
