,Player,cluster,x,y
0,Brenden Aaronson,1,-9517.593240232945,1116.7501639412403
1,Saad Abdul-Salaam,1,-8360.353150191499,-1821.6475472484826
2,Lalas Abubakar,4,-3380.4446212824887,-2804.5168856011705
3,Bryan Acosta,0,15789.790564745714,-882.8067958402798
4,Kellyn Acosta,4,-999.8244449415021,604.4924908206884
5,Luciano Acosta,2,3052.9100650519754,3858.0517450790994
6,Ali Adnan Kadhim,2,5873.972141978343,701.1452435183368
7,Harrison Afful,2,1615.3425174225347,-1233.5119186495972
8,Juan Agudelo,4,-5979.460704361308,2304.0593633741473
9,Tesho Akindele,1,-10425.734253764658,-226.392690304175
10,Osvaldo Alonso,0,12623.205209558484,1539.3584860433257
11,Jozy Altidore,1,-10972.301149087796,-1157.818304235362
12,Fabio Álvarez,1,-7550.448890190283,-55.12359665400453
13,Frankie Amaya,1,-8026.940433961179,-341.1072533326604
14,Michael Amir Murillo,4,-4760.258658045577,133.97896505913448
15,Jalil Anibaba,4,-6510.517935945896,-2869.731376398548
16,Uriel Antuna,4,-5900.97222560524,4530.198160122226
17,Luis Argudo,1,-11069.285415597167,528.1575807312256
18,Xavier Arreaga,4,-4669.832517865999,-1460.9766198834875
19,Paul Arriola,4,-3727.062485875149,3742.7798544484845
20,Artur,0,11506.007280571332,-506.60605005480016
21,Carlos Ascues,1,-11469.140556595796,-1310.9426673581888
22,Eduard Atuesta,3,25383.18688754238,2099.022108559379
23,Auro,2,4212.4223492374185,-244.35024549507986
24,Micheal Azira,4,-5971.281943431973,-1193.5687634056203
25,Dominique Badji,1,-11243.63641575068,707.0289313556017
26,Corey Baird,1,-7803.822245351134,1540.5314185201462
27,Botond Baráth,2,3860.4814873812634,-2519.195952594237
28,Michael Barrios,4,-2701.2556084579164,3610.2135070713675
29,Cole Bassett,1,-10208.507571577566,-675.490951002554
30,DaMarcus Beasley,4,-6606.974851521166,-1422.3776134513223
31,Kyle Beckerman,2,6927.78766581507,-1651.7045012231806
32,Alejandro Bedoya,0,8246.637414563393,2021.5177868693872
33,Steven Beitashour,2,1390.5329627143342,-1788.0356485892753
34,Leonardo Bertone,2,3447.08527271798,-1750.8112149399726
35,Matt Besler,0,14630.042124474472,-248.82950813218372
36,Steve Birnbaum,0,8302.950544811854,-3634.3553946147404
37,Tristan Blackmon,2,396.68753721582226,-1849.358690155399
38,Sebastián Blanco,0,12697.836118924786,6425.996497466701
39,Latif Blessing,2,6411.063852251359,5144.923405654536
40,Gustavo Bou,1,-11508.792291189024,563.8150200226619
41,Michael Boxall,2,1372.8197193558367,-1722.492799280761
42,Michael Bradley,3,23125.049053946423,-1506.3209201103382
43,Bressan,4,-3272.953712149989,-2123.5346665718926
44,Frédéric Brillant,0,8121.903762069308,-1663.1554559420595
45,Brandt Bronico,4,-3089.7578312649434,-627.4960353030862
46,Teal Bunbury,1,-10453.7095433765,611.7897832795661
47,Brandon Bye,2,1020.8395209251298,-771.4899872837805
48,Víctor Cabrera,2,207.13003270501562,-2267.823999592999
49,Luís Caicedo,4,-830.1436124999684,-580.7938898579513
50,Scott Caldwell,1,-8413.810000094358,-1661.7803583877035
51,Alexander Callens,0,8996.955098617742,-1611.3589129454153
52,Francisco Calvo,0,8502.025490228874,-369.5299090332859
53,Rudy Camacho,2,3959.637979996738,-1340.944292430092
54,Reggie Cannon,2,3103.212200527033,668.2457116640443
55,Russell Canouse,2,3008.696669275918,-1559.4597334098462
56,Julio Cascante,4,-4491.543857969438,-1932.1148202825482
57,Cristian Cásseres,4,-6327.371598359221,59.22196493663841
58,Valentín Castellanos,1,-11642.388010359344,473.12880494695173
59,Edgar Castillo,4,-3877.521953902384,-958.8045886902829
60,Maxime Chanot,0,15370.498852667513,-2258.747887897931
61,Diego Chará,3,17658.482317045527,911.6948752112211
62,Laurent Ciman,2,594.4543948580038,-2328.4394587280253
63,Derek Cornelius,4,-4534.746989510003,-1917.2558044116104
64,Joe Corona,0,9800.422944142607,889.6959912664763
65,Yohan Croizet,1,-9823.810245111434,-31.86608205829494
66,Allan Cruz,1,-10781.074325717798,234.13811373222947
67,Harold Cummings,2,1972.74187886522,-1889.5113419234476
68,Sean Davis,2,4028.9104947507126,-1764.5741615601507
69,A.J. DeLaGarza,4,-524.7094047110612,-1851.5500760234465
70,Antonio Delamea Mlinar,4,-5621.884405046429,-2030.3393213561824
71,Jordy Delem,4,-6171.425288516986,-1698.620048859917
72,Nick DeLeon,4,-3748.6651415699116,1962.2022735663054
73,Marky Delgado,0,13115.74230396667,650.9032695257945
74,Mathieu Deplagne,0,7350.804331779153,-1204.1740211007877
75,Zakaria Diallo,0,11940.354317919291,-463.13694777619907
76,Claude Dielna,4,-5104.193832899355,-1368.4099628584247
77,Adama Diomande,1,-13167.885139767155,993.0704476964902
78,Jonathan dos Santos,3,23809.602162425243,-431.0840749093637
79,Hassani Dotson,1,-7636.834873315062,-438.2813570508305
80,Kyle Duncan,1,-9959.12460482371,-925.9509490302005
81,Dom Dwyer,1,-14867.301381809459,-720.3532423078884
82,Jeremy Ebobisse,1,-9705.587082956812,-270.0901327422277
83,Alberth Elis,1,-9747.739622575224,4755.480486789224
84,Jack Elliott,3,18750.52579448364,-1484.0449859129792
85,Jon Erice,2,3229.590213273589,-2593.938220069281
86,Magnus Eriksson,0,11090.490839045357,3027.3232956162165
87,Franco Escobar,2,2636.9279514499667,-299.94775784129143
88,Cristian Espinoza,2,5382.350707803961,7619.206186385506
89,Roger Espinoza,1,-9530.487562098442,-969.4946472980711
90,Marco Fabián,4,-5006.588160888457,1240.4929393126383
91,Diego Fagúndez,1,-9085.479316670391,313.11215497401594
92,Andrew Farrell,2,4931.2808252772675,-1137.964557862127
93,Benny Feilhaber,1,-7638.5409989338095,-1229.6358225252498
94,Felipe,1,-7321.148390354223,-1939.3038915659401
95,Rolf Feltscher,2,2393.351531333601,-436.62037061513405
96,Gerso Fernandes,1,-11504.202592288719,3555.9820463944266
97,Brian Fernández,1,-13277.057887768418,-45.02113404114849
98,Juan Fernando Caicedo,1,-14799.412752360518,-905.855368803695
99,Jesus Ferreira,4,-3958.6233575355504,-111.60541349972156
100,Marcelo dos Santos Ferreira,1,-8130.296362055997,-2408.248789346103
101,Maynor Figueroa,0,12061.976040630598,1330.9276118570372
102,Ethan Finlay,1,-12447.961146969124,436.1183659214759
103,Waylon Francis,4,-4157.889590521972,-2504.8871916840226
104,Przemysław Frankowski,4,-1736.4100160350613,3487.401732846864
105,Ray Gaddis,0,8597.797086493229,-139.17108949149085
106,Nicolás Gaitán,4,-2869.5476148758403,570.0633330574124
107,Boniek García,2,6548.685396977516,452.23228737271666
108,Chase Gasper,4,-6120.9464701957595,-560.6435485034865
109,Carles Gil,3,18821.998587590948,8347.444487055367
110,Justen Glad,2,5069.143465920381,-1331.8221904180366
111,Aníbal Godoy,2,44.43690298215685,-1098.0549737334884
112,Erik Godoy,0,10009.711569073532,-1871.2697333851422
113,Leandro González Pirez,3,26941.70773487805,646.2105240957859
114,Giancarlo González,4,-6959.719559400041,-1989.2336264122682
115,Omar Gonzalez,4,-1704.2220261062773,-799.8571612119547
116,Ján Greguš,3,16953.6999175731,-513.5199801706
117,Julian Gressel,2,6630.06193144693,818.4608026892337
118,Felipe Gutiérrez,0,11520.746292439098,1787.2951282251959
119,David Guzmán,4,-4125.834562142998,-1504.9686843096097
120,Nick Hagglund,2,2356.576071350768,-1784.1726584861005
121,Jordan Harvey,2,5514.155267527742,-2370.802731480007
122,Héber,1,-11567.187497162886,-804.9258367089284
123,Matt Hedges,3,23746.71237920483,-3140.4634457521806
124,Doneil Henry,2,759.0171171438594,-3103.919359995602
125,Aaron Herrera,0,11766.977964012085,167.20880857306994
126,Federico Higuaín,4,-3954.8287879574614,-840.7759506321987
127,Danny Hoesen,1,-12635.66955879682,241.84398685334452
128,Ryan Hollingshead,0,12659.932751985685,3291.655930798608
129,Justin Hoyte,4,-2152.335793510087,-2354.990518762385
130,Miguel Ibarra,1,-9072.886398449778,-665.155062277172
131,Sebastien Ibeagha,1,-7386.739155532412,-2581.803620096491
132,Zlatan Ibrahimović,4,-4711.34336977845,-10.296317937900016
133,Ilsinho,1,-7143.961349376625,2827.6981977760047
134,Hwang In-beom,0,14848.170208721032,827.9135769562699
135,Robin Jansson,2,2725.4918837757727,-2476.7334164353574
136,Leonardo Jara,2,2793.167924849909,-401.9623383311885
137,Hector Jiménez,4,-2877.3807366282026,-2015.5115235398696
138,Sam Johnson,1,-14351.180731297563,-784.3667297878279
139,Will Johnson,4,-1738.7370353415272,-1218.367585698873
140,DeJuan Jones,1,-10147.807581516714,461.2332930865752
141,Judson,2,6018.904290534512,-2397.7808841383558
142,Florian Jungwirth,3,22311.733568767926,-1180.359527009818
143,Kaku,2,34.63462926264211,-638.803187913357
144,Brent Kallman,4,-5043.429499218392,-1594.4595721198616
145,Kei Kamara,1,-8163.044644859389,1279.5695951074515
146,Johan Kappelhof,2,2161.0315707862765,-325.5774377486255
147,Guram Kashia,0,11224.212237813543,-2238.6234383466285
148,Aleksandar Katai,4,-2973.0038536428983,6714.322318668763
149,Mark-Anthony Kaye,0,15378.62567636159,1777.942110582213
150,Kim Kee-hee,0,9969.894831589147,-682.3699960395968
151,Sacha Kljestan,4,-4076.694165002652,14.79617468337757
152,Damir Kreilach,2,6210.614088224433,-679.3224875510501
153,Roland Lamah,1,-7867.5497915679925,1634.7622888517897
154,Jeff Larentowicz,4,-4692.306284774321,-1789.837950371287
155,Richie Laryea,4,-6413.802989408157,1668.7572884269491
156,Kemar Lawrence,4,-6354.485161430271,-1901.859730082854
157,Emmanuel Ledesma,1,-7556.314886798677,-777.0210939653799
158,Kelvin Leerdam,2,3990.8914772234743,-745.746303558133
159,Brooks Lennon,4,-2317.2836721222307,677.8312080462721
160,Nick Lima,4,-2390.190943427926,-210.76436674790014
161,Sebastian Lletget,2,5804.15325876259,1232.705929552672
162,Nicolás Lodeiro,0,15722.043857465336,3604.9550106874935
163,Aaron Long,4,-5004.508362282244,-2596.1787534864866
164,Marcos López,4,-4224.236345005668,19.706925689256586
165,Daniel Lovitz,0,7199.604912961421,262.30244830885334
166,Jorge Luis Corrales,1,-8295.85472690343,-1394.2605039496993
167,Everton Luiz,4,-1879.2327647782959,1212.6990785436717
168,Adam Lundqvist,2,4660.339029881212,-363.3011339288413
169,Larrys Mabiala,4,-536.455713930063,-1732.2875974173373
170,Michael Mancienne,1,-7279.636163389317,-2343.384246292252
171,Kekuta Manneh,1,-11046.35567301809,1774.1042296640137
172,Mauro Manotas,1,-8839.360988227545,-318.7446808914557
173,Josef Martínez,1,-9213.265302725953,356.52522664908093
174,Tomás Martínez,4,-375.043862401105,1536.3035090224726
175,Rónald Matarrita,2,3924.656426890661,-481.4768890145139
176,Darren Mattocks,1,-14081.173153513882,-546.2644452188961
177,Chris Mavinga,2,5578.983812041238,47.77727327475244
178,Dax McCarty,3,17633.2558113492,78.2151723192261
179,Thomas McNamara,1,-9701.74527550285,-846.8304201775891
180,Haris Medunjanin,3,32873.6182116683,-1245.732670581199
181,Jhegson Méndez,2,7109.48554781919,-1102.1589878075927
182,Jonathan Mensah,0,8076.34968814843,-3364.913871515316
183,Justin Meram,1,-7658.360316707778,2875.433357363405
184,Romain Métanire,0,8247.176484199234,2142.8877220819772
185,Nicolás Mezquida,1,-8038.57434788842,1356.1962552100003
186,Djordje Mihailovic,4,-5372.201331080426,-1305.104096172843
187,Kamal Miller,4,-5825.973061921319,-2249.7890487202785
188,Alexandru Mitriță,4,-5347.2589309015775,4693.025970579547
189,Jamiro Monteiro,2,5902.8582817543875,2373.84958719028
190,Fredy Montero,1,-8136.677304312126,713.3059225689218
191,Drew Moor,4,-4820.685049416153,-1895.4897522904237
192,Joseph Mora,1,-7534.593481510718,-86.85229904630707
193,Maximiliano Moralez,0,10481.070406850116,1147.50339826398
194,Jorge Moreira,0,9804.623580361684,2961.30434428671
195,Junior Moreno,0,11301.648078896636,-2376.4699557011877
196,Jordan Morris,1,-8115.230028446908,2337.923902290029
197,Justin Morrow,2,2874.199148604197,740.452645305612
198,João Moutinho,4,-5903.644251423136,-1325.4724833242456
199,Christopher Mueller,1,-8285.658843569317,2027.6243492844123
200,Alex Muyl,1,-10866.95491078747,-109.32559002796387
201,Darlington Nagbe,0,15450.153746256376,4557.260594007372
202,Nani,2,4163.236667008293,3232.0653828600607
203,Krisztián Németh,1,-12686.518200889435,-913.8747571427328
204,Jake Nerwinski,4,-2445.5813455573175,-734.4801103239236
205,Lee Nguyen,4,-2665.724246375267,351.056785217312
206,Sam Nicholson,1,-10594.559723309087,3491.3465198356844
207,Gonzalo Nicolás Martínez,2,1715.1405281019834,2944.6870521528117
208,Nemanja Nikolić,1,-12013.31640650477,-574.3082705963735
209,Ebenezer Ofori,4,-5213.793564804738,-1708.6925713887829
210,Orji Okwonkwo,1,-10451.449856052788,1793.9019168952925
211,Nedum Onuoha,2,3328.751584454818,-2114.479550877918
212,Ike Opara,2,1895.011141997275,-1259.0665067907871
213,Jonathan Osorio,4,-2356.630243656341,36.99247323838151
214,Cristhian Paredes,4,-3936.178702069757,-923.2080899876772
215,Tim Parker,4,-2080.9159971307413,-2332.7390816361954
216,Michael Parkhurst,4,-1597.0319992657865,-923.3839007535848
217,Keaton Parks,4,-818.8517187334843,-26.964393289713605
218,Cristian Penilla,1,-7042.943651468341,2511.119843778076
219,Fafà Picault,1,-9483.767985628341,2613.7455421036857
220,Samuel Piette,0,9098.700722414253,-2097.3152330576563
221,Diego Polenta,0,10796.712888562202,-764.3146856988785
222,Andy Polo,1,-7943.364296865633,464.0876303728709
223,Paxton Pomykal,2,1215.9076354894532,2873.146815224772
224,Alejandro Pozuelo,0,11691.438657324545,4348.769879904206
225,Jack Price,0,8089.78707254298,-2497.2756055538307
226,Kacper Przybyłko,1,-8052.84373536326,750.2402163260342
227,Valeri Qazaishvili,4,-3294.318884548261,6413.973145394165
228,Darwin Quintero,4,-3247.4955365942515,3059.5501811920617
229,Jukka Raitala,2,6531.723054291604,-2150.987956957245
230,Eric Remedi,2,6078.019463308984,416.9654039968875
231,Yordy Reyna,1,-6770.226817022077,3125.932505911888
232,Alexander Ring,3,21174.39033637636,-1802.255368706087
233,Robinho,1,-12433.369501810852,1535.8255042366666
234,Miles Robinson,3,22745.876265048002,1341.0860798035162
235,Angelo Rodríguez,1,-13656.124721384704,-3.4789557749754767
236,Lucas Rodríguez,4,-1107.9106981453938,2707.618036963478
237,Memo Rodriguez,1,-9692.119673581814,5.819210134265732
238,Víctor Rodríguez,1,-9619.405617371644,1930.4883039905956
239,Cristian Roldan,0,12216.665637815659,229.08472351300597
240,Wayne Rooney,2,4032.3125177495767,-1606.6597717884333
241,Andy Rose,4,-1431.764623244892,-1316.6545236918228
242,Oriol Rosell,2,376.48341892098205,-2186.172034709098
243,Keegan Rosenberry,0,9269.982025107834,-2190.730616407301
244,Diego Rossi,4,-1174.18592572796,7039.131783804701
245,Daniel Royer,1,-8694.890229350627,744.756197866078
246,Ruan,4,-2939.0586383326704,3419.777424345677
247,Diego Rubio,1,-6848.242858196887,1439.76472209035
248,Raúl Ruidíaz,1,-11762.363169321323,177.0688395036336
249,Albert Rusnák,2,5632.487440944255,1742.5723962309041
250,Johnny Russell,4,-3692.7737824517794,3478.2074783117882
251,Marc Rzatkowski,2,-118.45118819072424,418.713880175025
252,Bacary Sagna,2,5304.972633628055,-1673.176372107336
253,Shea Salinas,4,-6155.794058647732,2472.7456865631566
254,Dániel Sallói,1,-11336.920426494633,397.80900182753874
255,Ilie Sánchez,3,17199.295548370992,-1674.681831007308
256,James Sands,4,-2495.0500139593632,-1770.447445996124
257,Lamine Sané,2,4302.554324147794,-1818.6697112455588
258,Harold Santiago Mosquera,1,-8776.350919776642,2800.423743054499
259,Pedro Santos,2,2227.3347988654846,5182.642459701209
260,C.J. Sapong,1,-10519.959561787971,1236.2513266379099
261,Sebastián Saucedo,1,-7957.7264431557805,2392.174612488923
262,Gastón Sauro,4,-4578.575701683436,-1850.2057841376015
263,Jefferson Savarino,4,-2506.0960418529467,4457.356505192532
264,Bastian Schweinsteiger,3,20619.457200467972,-48.677104603740155
265,Eddie Segura,3,22048.2869188953,-2115.6144398039446
266,Ulises Segura,1,-7898.188412518966,1805.2551163471935
267,Brandon Servania,1,-8085.932147178533,-399.0958094645229
268,Andre Shinyashiki,1,-10529.578892855709,1821.4653870822467
269,Harry Shipp,4,-6471.138578278498,-1225.5765387564722
270,Shamit Shome,1,-7492.897070727845,-514.1266579479432
271,Marcelo Silva,4,-6200.641750754167,-1980.0560034922896
272,Seth Sinovic,2,1609.152368620028,-156.7782512226907
273,Jørgen Skjelvik,4,-6029.215147884296,-1220.6194615036197
274,Brad Smith,2,2008.9660521905216,1498.7407302202953
275,Kyle Smith,4,-6568.322046621241,-1285.888711559936
276,Tommy Smith,4,-392.38339362690533,-1200.7838371696748
277,Caleb Stanko,4,-4925.948573913881,-1870.7797370523028
278,Daniel Steres,0,10361.594427641729,-2974.1894709645353
279,Aljaž Struna,0,9502.361565004654,480.60079470503723
280,Gustav Svensson,2,6482.851019045763,-2302.8656190289553
281,Ben Sweat,4,-5451.517270336532,-1547.0397373799656
282,Saphir Taïder,3,17722.5517241076,4476.808771970201
283,Amro Tarek,1,-11090.115450623862,-1636.1893716459917
284,Russell Teibert,4,-2948.57863579326,-734.4366089830991
285,Tommy Thompson,0,7813.317624090649,2479.251794629048
286,Anton Tinnerholm,2,6660.645467552438,286.2714786131629
287,Donny Toia,2,3104.0330150362124,-2405.6704188974345
288,Román Torres,1,-7452.750942340903,-1980.2834819073732
289,Wil Trapp,0,14236.614312882097,-1879.9570078726733
290,Auston Trusty,2,2456.0606834399982,-443.3799747850534
291,Bill Tuiloma,2,383.3218494427079,-1716.157993143305
292,Victor Ulloa,2,1927.4937712402277,-1351.3075217202272
293,Maximiliano Urruti,1,-8265.51826782552,1863.664259843636
294,Zarek Valentin,2,1005.9268643007988,-2587.1955625605374
295,Diego Valeri,0,7871.740128540771,1304.2402363967583
296,Carlos Vela,2,1373.8851788013303,7803.681170279399
297,Lucas Venuto,1,-12320.554239052313,1131.6328280290359
298,Matías Vera,0,12642.989536616544,-1588.3964596396993
299,Jorge Villafaña,2,20.943177412158516,-518.1496133959208
300,Sam Vines,4,-3481.494150533097,-892.1635771590222
301,Kai Wagner,0,8758.616347051313,937.6488978620599
302,Kendall Waston,2,6295.71486872519,-2151.0149876763803
303,Brian White,1,-15110.504475033564,-1389.3156089535503
304,Josh Williams,4,-3401.417391011059,-2526.956816893756
305,Danny Wilson,1,-8512.853617990348,-2137.32210020755
306,Chris Wondolowski,1,-13223.836541119073,-1534.7915740318285
307,Bradley Wright-Phillips,1,-14504.39422286559,-1122.2979500186111
308,Jackson Yueill,3,21470.57385976995,243.1678345933514
309,Wilfried Zahibo,4,-4085.5972204332315,-1729.7688845453881
310,Gyasi Zardes,1,-12453.640010339637,383.8223314557436
311,Eriq Zavaleta,4,-4864.228115299693,-2157.4539462853622
312,Reto Ziegler,3,27730.318221571448,-1313.5899235069842
313,Walker Zimmerman,0,8616.606588662113,-1834.7649233665406
314,Graham Zusi,0,13489.250116498553,-143.06793906237175
