,Player,cluster,x,y
0,Saad Abdul-Salaam,0,-10212.545920389843,-629.4040737554012
1,Lalas Abubakar,4,-5241.700343732136,-1714.7085615750052
2,Ali Adnan Kadhim,3,4171.02446690264,1725.9997315058379
3,Harrison Afful,3,-150.72931841131143,-156.1824039488353
4,Michael Amir Murillo,4,-6478.82186117293,1509.05722044584
5,Jalil Anibaba,0,-8381.015698573598,-1685.0131371623233
6,Xavier Arreaga,4,-6516.563153616092,-377.6906031870913
7,Carlos Ascues,0,-13332.028826163736,-120.52906151136766
8,Auro,3,2478.6041286564587,722.2822162371793
9,Botond Baráth,3,1991.6239835576798,-1764.1757797288858
10,DaMarcus Beasley,0,-8431.756513368911,-222.07954044462838
11,Steven Beitashour,3,-416.1029758361927,-828.152747636737
12,Matt Besler,1,12892.961600890054,492.9620117087623
13,Steve Birnbaum,1,6508.626005294601,-2656.547150729436
14,Tristan Blackmon,3,-1399.164154621915,-765.6706684753492
15,Michael Boxall,3,-444.92921341833664,-759.5284377585614
16,Bressan,4,-5118.628878921511,-1037.9414467386941
17,Frédéric Brillant,1,6355.357435824689,-739.3568184920117
18,Brandt Bronico,4,-4898.914516296201,386.60350320148825
19,Brandon Bye,3,-678.1291373941377,546.9601919797934
20,Víctor Cabrera,3,-1649.2814166335872,-1306.5508182729932
21,Alexander Callens,1,7227.427813927486,-728.9203536730885
22,Francisco Calvo,1,6763.148459119124,612.2167321922316
23,Rudy Camacho,3,2126.786823340616,-533.8409372901139
24,Reggie Cannon,3,1372.074654552229,1599.0567024040452
25,Russell Canouse,3,1197.39811421126,-683.0904507190502
26,Julio Cascante,4,-6336.556855466124,-815.4594624814448
27,Edgar Castillo,4,-5636.572992777492,353.79334298812495
28,Maxime Chanot,1,13573.436289360725,-1696.5882829356285
29,Laurent Ciman,3,-1267.1369421490083,-1391.1438682411208
30,Derek Cornelius,4,-6394.6234813183155,-883.4351264366903
31,Yohan Croizet,0,-11651.160679904462,1159.3287650624766
32,Harold Cummings,3,143.98583623419654,-947.8396259777786
33,A.J. DeLaGarza,4,-2344.5002165205556,-837.5914181982621
34,Antonio Delamea Mlinar,0,-7480.796502699094,-922.4963085860273
35,Mathieu Deplagne,1,5614.860055280508,-235.43155448595445
36,Zakaria Diallo,1,10173.170652931092,283.11036717285145
37,Claude Dielna,4,-6944.36084694983,-239.6120624796105
38,Hassani Dotson,0,-9454.694447541548,708.6516585164429
39,Kyle Duncan,0,-11758.885319784122,441.07131209398676
40,Jack Elliott,2,16991.06502417121,-870.9364854920914
41,Franco Escobar,3,853.4761288984614,595.6981376761007
42,Andrew Farrell,3,3188.436044368162,-26.76146992212556
43,Rolf Feltscher,3,658.1526206760277,662.4023106850627
44,Marcelo dos Santos Ferreira,0,-10002.66730996869,-1227.5985640661313
45,Maynor Figueroa,1,10377.159952315797,2275.6894262637575
46,Waylon Francis,4,-5985.582221922638,-1299.500195425899
47,Ray Gaddis,1,6859.11301457019,643.1618124827307
48,Chase Gasper,0,-7923.435996217861,653.2917621833021
49,Justen Glad,3,3284.4912151767585,-380.2202830737294
50,Erik Godoy,1,8229.880201502247,-1017.2141319227363
51,Leandro González Pirez,2,25252.290230572682,1117.6972336356685
52,Giancarlo González,0,-8827.590769237957,-881.3892103198378
53,Omar Gonzalez,4,-3525.2269378508345,217.88563356290996
54,Julian Gressel,1,4911.973842048911,1718.1955846296325
55,Nick Hagglund,3,534.6007878745006,-806.4347243862645
56,Jordan Harvey,3,3732.939874900299,-1405.180606123737
57,Matt Hedges,2,22000.00523022069,-2550.377430626898
58,Doneil Henry,3,-1088.2863669818005,-2105.149334861578
59,Aaron Herrera,1,10038.396869379754,955.5120391169802
60,Ryan Hollingshead,1,11036.634374017156,4102.140900322225
61,Justin Hoyte,4,-4002.590221193832,-1326.857757923088
62,Sebastien Ibeagha,0,-9262.264256571585,-1446.5167997870926
63,Robin Jansson,3,891.8807292718767,-1517.9973764493473
64,Leonardo Jara,3,1024.8861012234531,545.6520379447281
65,Hector Jiménez,4,-4690.360083689439,-870.7818718163182
66,DeJuan Jones,0,-11935.27629900656,1744.3111520880284
67,Florian Jungwirth,2,20526.246226002637,-764.1064883224192
68,Brent Kallman,4,-6893.303175110288,-515.8455371128441
69,Johan Kappelhof,3,382.0223255160098,591.317994150114
70,Guram Kashia,1,9415.072705257238,-1470.1303719597613
71,Kim Kee-hee,1,8194.532345400141,65.85814300351689
72,Richie Laryea,0,-8172.833530683281,2799.5082568657635
73,Kemar Lawrence,0,-8162.561751219383,-625.047533139996
74,Kelvin Leerdam,3,2229.57867488123,205.59609563855773
75,Brooks Lennon,4,-4083.904861901907,1756.335291300822
76,Nick Lima,4,-4189.290818437153,810.0107128508585
77,Aaron Long,4,-6830.893587281134,-1354.959497749831
78,Marcos López,4,-6030.784210277808,1097.504173890856
79,Daniel Lovitz,1,5485.980011148338,1233.5736995521356
80,Jorge Luis Corrales,0,-10129.124753790229,-170.17144585906786
81,Adam Lundqvist,3,2903.0962292638983,597.0250178559344
82,Larrys Mabiala,4,-2372.4267453526595,-748.9408975313053
83,Michael Mancienne,0,-9158.383376877367,-1217.7282523669094
84,Rónald Matarrita,3,2186.857218603284,573.1733976681404
85,Chris Mavinga,3,3806.039286096702,905.2075888363335
86,Jonathan Mensah,1,6253.9907588266615,-2513.807946454767
87,Justin Meram,0,-9380.310345802478,4091.0789198779576
88,Romain Métanire,1,6634.720310635591,3269.8454776730946
89,Kamal Miller,0,-7668.585929811147,-1049.7255506627257
90,Drew Moor,4,-6658.865795707485,-758.2932143130195
91,Joseph Mora,0,-9311.893789517726,1198.6643890773803
