,Player,cluster,x,y
0,Brenden Aaronson,3,-4827.178800114172,395.6325384801087
1,Luciano Acosta,2,11550.07282981865,-851.3742310463579
2,Juan Agudelo,3,-343.77566945272815,160.0021930251554
3,Tesho Akindele,0,-5652.636719544296,767.0272749533989
4,Jozy Altidore,0,-6108.94782443631,685.7467728995579
5,Fabio Álvarez,3,-1729.02950801684,781.926237314591
6,Uriel Antuna,3,-873.0607304965928,527.7514817654172
7,Luis Argudo,0,-6774.814781752961,-1.750675634323944
8,Paul Arriola,2,2278.9034147982507,-571.8173566264804
9,Dominique Badji,0,-7048.802077760399,789.7555892867139
10,Corey Baird,3,-2576.9167103234577,647.7705307017832
11,Michael Barrios,2,3772.0351592541,-368.1172165487277
12,Sebastián Blanco,1,24007.511788950716,-3131.0685282101404
13,Gustavo Bou,0,-7417.165915195543,-374.46774702939854
14,Teal Bunbury,0,-5978.021246337155,488.3877962598232
15,Valentín Castellanos,0,-7586.361411446302,30.857794925280142
16,Yohan Croizet,3,-4895.47016119872,-603.6464895860769
17,Allan Cruz,0,-6330.286889484681,-339.5739304759222
18,Nick DeLeon,2,2862.2404144522357,466.44030050580375
19,Adama Diomande,0,-9811.668282999593,-9.75764526511072
20,Dom Dwyer,0,-11630.836843419927,-40.98200325516699
21,Jeremy Ebobisse,3,-4636.543027328217,807.6397128512723
22,Alberth Elis,0,-6280.257026779926,-475.3205009454034
23,Cristian Espinoza,1,13741.377275336563,604.7142102985289
24,Marco Fabián,2,1398.3851824690537,1072.5277501422204
25,Diego Fagúndez,3,-4001.3453881171736,-512.9276511750749
26,Gerso Fernandes,0,-8307.944366521422,-264.88550512437195
27,Brian Fernández,0,-9626.785581916882,119.46601488201416
28,Juan Fernando Caicedo,0,-11474.131729043263,29.11423275990553
29,Jesus Ferreira,2,3244.6673339843296,1444.4223282906698
30,Ethan Finlay,0,-8693.615101491741,-512.9557227527818
31,Przemysław Frankowski,2,5150.598031975889,-100.85917352952099
32,Carles Gil,1,31912.76239287814,-1836.502866802018
33,Julian Gressel,1,17393.609156808863,-1965.1884846562002
34,Héber,0,-7046.812661958648,521.3431374705018
35,Danny Hoesen,0,-8856.193949839399,-121.10049261895054
36,Miguel Ibarra,3,-3673.221281929113,57.38948629726517
37,Zlatan Ibrahimović,2,2098.712461032269,247.55862597011705
38,Ilsinho,3,-2081.073774337011,-206.0665967408977
39,Sam Johnson,0,-10895.402737072664,59.33254292332139
40,Kei Kamara,3,-3036.364623832245,861.387807602776
41,Aleksandar Katai,2,2484.988679539281,99.56161858829982
42,Sacha Kljestan,2,2995.382440945759,3.362194726261595
43,Damir Kreilach,1,17448.403886662123,2860.9376565408215
44,Roland Lamah,3,-2703.6713650770403,91.65954343660891
45,Emmanuel Ledesma,3,-1585.0278249891749,-667.9207439588708
46,Brooks Lennon,2,5165.591700451941,-1550.6438221441574
47,Sebastian Lletget,1,16327.648527735895,2537.4761378901194
48,Kekuta Manneh,0,-7119.8534040807535,245.7080690316205
49,Mauro Manotas,3,-3443.0545572105716,848.5771292555124
50,Josef Martínez,3,-4146.343906659774,951.9838584540936
51,Tomás Martínez,2,7639.574394695532,335.63527815129527
52,Darren Mattocks,0,-10605.948317147358,-171.33898510878254
53,Thomas McNamara,3,-4487.830883920529,-82.5480131982905
54,Justin Meram,3,-2841.4843830858686,-1043.6426488278776
55,Nicolás Mezquida,3,-2875.411578651132,-219.1269525737277
56,Alexandru Mitriță,3,-278.65181399356567,-1899.2060845292742
57,Fredy Montero,3,-2850.5198686177346,-602.3416152037929
58,Maximiliano Moralez,1,22625.235319307012,-925.3246684135385
59,Jordan Morris,3,-3259.483220269839,416.57572863682816
60,Christopher Mueller,3,-3412.5314277354955,-93.10000428613922
61,Alex Muyl,0,-6403.565317140504,-1377.0798486599215
62,Nani,1,13257.804208743426,-1921.6117175582322
63,Krisztián Németh,0,-8548.889946689147,552.6480478759939
64,Sam Nicholson,0,-7063.97696656074,-579.3760612247993
65,Gonzalo Nicolás Martínez,2,10038.664479831239,-646.3615359605801
66,Nemanja Nikolić,0,-7712.255390974571,791.2459604416831
67,Orji Okwonkwo,0,-6285.546928384798,856.2565401074405
68,Jonathan Osorio,2,5369.800935811621,707.5858394745433
69,Cristian Penilla,3,-1902.5586470093524,-1153.9860315674387
70,Fafà Picault,3,-5209.399202026486,744.4853799695203
71,Andy Polo,3,-2427.0728268508833,286.4060784092469
72,Alejandro Pozuelo,1,23377.619046475185,405.50852294398436
73,Kacper Przybyłko,3,-2654.3729623625745,1731.1419749233416
74,Valeri Qazaishvili,2,2151.6334461582155,669.8091296291856
75,Darwin Quintero,2,3116.6667731032126,-1496.8943831663446
76,Yordy Reyna,3,-1667.4012212066955,-184.5433578194252
77,Robinho,0,-8965.466767023821,40.188689700538106
78,Angelo Rodríguez,0,-10200.522689085506,-2.248962335330024
79,Lucas Rodríguez,2,6303.426470153237,1455.5208923537557
80,Memo Rodriguez,3,-4766.145344844327,-864.8943246550348
81,Víctor Rodríguez,3,-5242.545624379596,-677.29783108887
82,Cristian Roldan,1,25429.201367216807,1826.9840084011132
83,Wayne Rooney,1,14662.963835666353,-412.90551532667337
84,Diego Rossi,2,4884.21921878999,1233.2543303675818
85,Daniel Royer,3,-3700.789852900439,-1260.4930546970627
86,Diego Rubio,3,-1283.0034731703645,-225.2828340157031
87,Raúl Ruidíaz,0,-7604.820080776082,604.5129072935918
88,Albert Rusnák,1,15936.143441115568,1435.318826782045
89,Johnny Russell,2,2455.657336520583,-1116.099005667252
90,Marc Rzatkowski,2,8170.372125685233,-2703.051899559211
91,Dániel Sallói,0,-7114.3063825488,126.28450899778872
92,Harold Santiago Mosquera,3,-4315.719280681677,-288.970811537065
93,Pedro Santos,2,10021.754472105476,-1644.3723547429702
94,C.J. Sapong,0,-6265.0035324240025,282.5785201166
95,Sebastián Saucedo,3,-3051.23266250053,-97.16256457368429
96,Jefferson Savarino,2,3827.4798784716368,833.4878099785392
97,Ulises Segura,3,-2871.7637731002974,-464.20384951749503
98,Andre Shinyashiki,0,-6478.6115418502095,-641.3348972680144
99,Harry Shipp,3,44.73484153187948,-529.1508058689332
100,Saphir Taïder,1,31838.285507540953,3905.429939984893
101,Maximiliano Urruti,3,-3307.4135780213637,716.8080212359135
102,Diego Valeri,1,19011.33663866531,-906.6613026165429
103,Carlos Vela,2,8104.04653315435,-972.3620811449734
104,Lucas Venuto,0,-8666.631827667054,169.13328478087124
105,Brian White,0,-11784.341594808913,-161.5866010376731
106,Chris Wondolowski,0,-9108.840416121579,366.1207589444361
107,Bradley Wright-Phillips,0,-11032.418005974654,-282.02086914603944
108,Gyasi Zardes,0,-8660.417737165519,455.1273099923953
