,Player,cluster,x,y
0,Jeff Attinella,0,353.63740901606485,-20.016158506472006
1,Joe Bendik,0,538.9668967782613,26.07788093955136
2,David Bingham,1,-408.6496836139257,-158.22731278314333
3,Andre Blake,1,-29.483773754100085,3.052975829553709
4,Alex Bono,0,532.3114968019509,22.90896050198392
5,Evan Bush,1,-291.0192348185956,39.42499711796571
6,Steve Clark,1,-134.01055461789102,12.129282078458294
7,Maxime Crépeau,1,-277.29639255227465,-99.61801732875544
8,Cody Cropper,0,505.405517219592,12.524670522220465
9,Mario Daniel Vega,1,-406.8269364378699,127.92040823959726
10,Tyler Deric,0,455.9387420332335,-21.89513090136059
11,Stefan Frei,1,-424.0377980417882,58.403599702515415
12,Jesse Gonzalez,1,-206.38545350485825,181.16580637767018
13,Brad Guzan,1,-521.6703696641548,78.81013512305968
14,Bill Hamid,1,-226.23785209543814,-164.43865771655476
15,Tim Howard,1,-132.98167231178815,-155.24302264208748
16,Clint Irwin,0,375.9509713625484,-61.87511526902607
17,Sean Johnson,1,-333.0222501547006,114.91524568936632
18,Brad Knighton,0,471.57983374469916,-12.444660154335462
19,Kenneth Kronholm,1,58.125248574219434,85.83923464484053
20,Zac MacMath,0,377.0541965325518,25.261517678591705
21,Vito Mannone,1,-432.2787639821061,-88.45550451134145
22,Tim Melia,1,-312.9874515492874,128.74158361010126
23,Tyler Miller,1,-104.29780349408823,135.04307700255407
24,David Ousted,0,316.10171643162937,-12.916748275350729
25,Spencer Richey,1,15.045744959028356,-1.2936322038702666
26,Nick Rimando,1,-316.9443110538069,-35.80533147958089
27,Luis Robles,1,-216.08634629796617,-164.4341449656989
28,Eloy Room,0,286.85264636721325,3.280828902793538
29,Brian Rowe,1,-269.0132161488835,-131.6296551849296
30,Pablo Sisniega,0,538.0007920322768,43.86576746578809
31,Zack Steffen,0,308.20311283499245,38.57779944222005
32,Matt Turner,0,128.00504849513095,-48.2866997926772
33,Przemysław Tytoń,0,212.7255919053472,-42.77821094756484
34,Quentin Westberg,1,-303.4910696538572,97.02203589625283
35,Joe Willis,1,-127.18403134135936,-15.607804102334605
