,Player,cluster,x,y
0,Brenden Aaronson,2,-14086.015822671996,-464.204764722139
1,Bryan Acosta,1,21505.051058052853,-1820.0714771630858
2,Kellyn Acosta,0,-2251.647577023336,404.0337691226822
3,Luciano Acosta,0,2269.840991103789,1013.0532599171289
4,Juan Agudelo,2,-9606.694251433528,-165.05229394334182
5,Osvaldo Alonso,3,16270.966513373172,107.36329011445453
6,Fabio Álvarez,2,-10981.571309664054,-811.0529668774843
7,Frankie Amaya,2,-11566.141699899381,-280.00865161321303
8,Uriel Antuna,2,-10130.873774278669,-542.4847908798024
9,Luis Argudo,2,-16036.885675221714,-101.07778891613366
10,Paul Arriola,0,-6995.741264798269,609.1288178191595
11,Artur,3,15462.828719176154,-2167.9524466259704
12,Carlos Ascues,2,-16048.080434897902,38.93245336839042
13,Eduard Atuesta,1,33575.541826387256,920.5188550271121
14,Micheal Azira,2,-8456.02341640486,-737.8021337752541
15,Corey Baird,2,-11832.08590413847,-686.0746773773069
16,Cole Bassett,2,-14466.367204681785,-367.2445832590632
17,Kyle Beckerman,3,9441.050441580719,-997.4454601021964
18,Alejandro Bedoya,3,10086.274491845157,-482.99384270765563
19,Leonardo Bertone,3,4638.384780607587,45.11745519694699
20,Sebastián Blanco,3,14697.516868681068,3452.005931613315
21,Latif Blessing,3,6542.959753825627,-54.231947584955826
22,Gustavo Bou,2,-16685.36965454566,262.35675466284647
23,Michael Bradley,1,31569.260570833856,1567.5679000680027
24,Brandt Bronico,0,-4711.984422014709,51.44560854000845
25,Teal Bunbury,2,-15235.72815073259,-572.9459843656858
26,Luís Caicedo,0,-1672.8267041203544,586.8572064284824
27,Scott Caldwell,2,-11747.24390975984,535.7909300753133
28,Russell Canouse,3,3931.021858033771,217.05438797132086
29,Cristian Cásseres,2,-9527.11757869905,1632.2923432781938
30,Diego Chará,1,23392.164021555487,350.70926204858114
31,Joe Corona,3,12549.997494870171,-315.9043294530668
32,Allan Cruz,2,-15597.48634587183,245.09459754110978
33,Sean Davis,3,5192.128905401905,2645.883605673327
34,Jordy Delem,2,-8671.002526232578,570.8005536806995
35,Nick DeLeon,0,-6395.837814126217,-428.0977875637218
36,Marky Delgado,3,17147.15639915664,376.21306119115627
37,Jonathan dos Santos,1,32206.964185911023,1181.1819936100967
38,Hassani Dotson,2,-11067.818860332221,391.9000529000004
39,Alberth Elis,2,-15551.625160334139,386.16612232690386
40,Jon Erice,3,4503.949104204589,1446.9171468352404
41,Magnus Eriksson,3,13728.973539311894,-396.8593787022513
42,Cristian Espinoza,3,4481.885476940693,-416.6883858780547
43,Roger Espinoza,2,-13465.081422560686,60.659530542994155
44,Marco Fabián,0,-7850.473551216246,-1058.1118089286394
45,Diego Fagúndez,2,-13270.395643472608,449.00936800210116
46,Benny Feilhaber,2,-10768.71684557068,-56.05236423879119
47,Felipe,2,-10085.97931811941,-844.5630320943256
48,Gerso Fernandes,2,-17575.761674869773,144.3359529423272
49,Jesus Ferreira,0,-5999.931264051518,-1402.745916419137
50,Ethan Finlay,2,-17963.50599085166,386.1702887480765
51,Przemysław Frankowski,0,-4115.97218959607,171.32026888625356
52,Nicolás Gaitán,0,-4825.630605855323,987.7483792609557
53,Boniek García,3,8324.14459806438,-1642.1829603696685
54,Carles Gil,1,22618.190788683147,2278.5350309793434
55,Aníbal Godoy,0,-106.16516511122123,-1621.7347272673837
56,Ján Greguš,1,22866.985818479465,4.289466841479683
57,Felipe Gutiérrez,3,14743.255634243595,-946.2932583281586
58,David Guzmán,0,-5813.560109829734,-514.6640992093152
59,Federico Higuaín,0,-5867.359024240591,608.8065667212369
60,Miguel Ibarra,2,-12934.861449601645,-114.2956939142357
61,Ilsinho,2,-11348.101281222971,176.89677415408192
62,Hwang In-beom,1,19632.391199395614,-1811.8035481443017
63,Will Johnson,0,-2601.627304987795,-1153.1084792206198
64,DeJuan Jones,2,-14824.20866773699,1200.692515373141
65,Judson,3,8475.391587630234,-1525.9608674664337
66,Kaku,0,-597.277591077821,3111.4849450671622
67,Aleksandar Katai,0,-6780.6495290321745,-63.1962267216772
68,Mark-Anthony Kaye,1,19900.262826204093,1115.6348737928192
69,Sacha Kljestan,0,-6267.926667457711,34.66464507332865
70,Damir Kreilach,3,8222.088411008544,-2617.679770671629
71,Roland Lamah,2,-11965.964963192668,-136.1695291169237
72,Jeff Larentowicz,0,-6510.306613289407,-813.0287929233925
73,Emmanuel Ledesma,2,-10857.253813112278,634.9270423327833
74,Sebastian Lletget,3,7096.429086331639,-2307.6225784845014
75,Nicolás Lodeiro,1,19825.525008894667,1027.9350319148873
76,Everton Luiz,0,-3552.5962046366008,-1085.9851065984997
77,Kekuta Manneh,2,-16379.987079955834,-349.9789818055608
78,Tomás Martínez,0,-1621.0308850821373,-234.69059335996337
79,Dax McCarty,1,23646.96592916963,-784.2249103815125
80,Thomas McNamara,2,-13751.443804803146,12.856490286156998
81,Haris Medunjanin,1,44765.37245600381,5027.083736172142
82,Jhegson Méndez,3,9514.114300545543,-775.1305316110747
83,Nicolás Mezquida,2,-12141.643026426209,171.15226427693594
84,Djordje Mihailovic,0,-7680.239437439888,550.2966062805524
85,Alexandru Mitriță,2,-9570.503826819146,1892.133461716077
86,Jamiro Monteiro,3,6746.798827041629,-237.61722898895465
87,Fredy Montero,2,-12122.668326527311,554.7686068485112
88,Maximiliano Moralez,3,13346.753222657815,1232.7034576550795
89,Junior Moreno,3,15613.678518984809,-303.75712709743493
90,Christopher Mueller,2,-12678.168572732751,41.81825476959063
91,Darlington Nagbe,1,19456.123108246058,-3498.0240113902064
92,Nani,3,3964.997685709836,2105.342714892373
93,Lee Nguyen,0,-4354.001821886948,-1018.1783103765624
94,Sam Nicholson,2,-16335.620102483612,475.6230774242599
95,Gonzalo Nicolás Martínez,0,762.8862387517019,778.52552275382
96,Ebenezer Ofori,0,-7243.4049694916475,-677.2409486838241
97,Orji Okwonkwo,2,-15537.410992247485,-947.7146936022948
98,Jonathan Osorio,0,-3885.4641733392086,-631.7097242423098
99,Cristhian Paredes,0,-5748.60797881947,-675.2094133531837
100,Keaton Parks,0,-1790.3840924036303,358.8763366971792
101,Cristian Penilla,2,-11182.798216922065,1121.3267559940618
102,Samuel Piette,3,12726.389043936375,-3054.209610353728
103,Andy Polo,2,-11685.098358421315,-328.64644775481753
104,Paxton Pomykal,0,208.05827062768157,-650.2543178197857
105,Alejandro Pozuelo,3,14112.568581253749,-72.03371714032488
106,Jack Price,3,11159.28927593885,2002.3518718826092
107,Valeri Qazaishvili,0,-7105.918023534415,-639.0272875283529
108,Darwin Quintero,0,-6169.640903472678,1532.399805239747
109,Eric Remedi,3,7719.799363447749,-2101.774579701818
110,Yordy Reyna,2,-10934.073805950215,155.64022257761536
111,Alexander Ring,1,29035.294406594152,135.87085540496048
112,Lucas Rodríguez,0,-2942.5392674745153,-1369.5634763280034
113,Memo Rodriguez,2,-14040.571745593423,789.4444053095242
114,Víctor Rodríguez,2,-14515.377644426595,600.3725791642281
115,Cristian Roldan,3,16189.431966168842,-1478.467918403624
116,Andy Rose,0,-2199.409835624554,-417.28127472496635
117,Oriol Rosell,0,570.0718959306421,-355.4683612057169
118,Diego Rubio,2,-10549.8755929029,199.59724328053517
119,Albert Rusnák,3,6692.339838859341,-1222.4242817053089
120,Johnny Russell,0,-6823.683304709856,1140.3296775534363
121,Marc Rzatkowski,0,-1132.2918541929141,2818.638433322667
122,Shea Salinas,2,-9878.311022713538,451.70501290618233
123,Dániel Sallói,2,-16375.251169426856,-231.5221560877511
124,Ilie Sánchez,1,23659.868939504144,-1573.2146826321025
125,James Sands,0,-3516.046914383312,-420.88037141551166
126,Harold Santiago Mosquera,2,-13582.400389351316,218.62534188609592
127,Pedro Santos,0,732.5805875181167,1776.1094790434606
128,Sebastián Saucedo,2,-12315.14998839618,43.38474695244074
129,Jefferson Savarino,0,-5427.183558011799,-785.5827352002332
130,Bastian Schweinsteiger,1,27634.11873961956,2718.064505024699
