rk,Player,cluster,x,y
0,Brenden Aaronson,3,-14029.065539049638,-976.0696079346503
1,Saad Abdul-Salaam,1,-11481.48491250499,573.7800156305989
2,Lalas Abubakar,4,-4364.157234461642,877.4488170129428
3,Bryan Acosta,2,21380.719052896053,-4793.051763901609
4,Kellyn Acosta,4,-2161.588138405342,-941.7395230875853
5,Luciano Acosta,9,2386.4557740289856,-724.1865818724337
6,Ali Adnan Kadhim,6,7296.275757613627,724.3605144462776
7,Harrison Afful,9,2042.6425304605161,1349.5090010138936
8,Juan Agudelo,1,-9540.735212592921,-1009.7065666648479
9,Tesho Akindele,3,-14872.41045869713,-1283.9549670079923
10,Osvaldo Alonso,2,16294.417839579603,-2538.4579285790364
11,Jozy Altidore,3,-15321.423236627308,-1163.629742373579
12,Fabio Álvarez,1,-10955.513699216628,-1521.6871573395242
13,Frankie Amaya,1,-11498.622132050523,-927.3853818542202
14,Michael Amir Murillo,4,-7140.871091942704,3407.5191704073973
15,Jalil Anibaba,1,-8638.206697330987,1356.3413133258782
16,Uriel Antuna,1,-10089.84682822679,-1339.9522129912707
17,Luis Argudo,3,-15945.743035074303,-436.9947264308374
18,Xavier Arreaga,4,-6511.945169280131,84.31671393544701
19,Paul Arriola,4,-6884.0032048622925,-458.5828297124045
20,Artur,2,15325.49914025107,-4748.739906462404
21,Carlos Ascues,3,-15946.30657003041,-289.2483678694632
22,Eduard Atuesta,5,33605.460484066294,-3053.4346242504566
23,Auro,6,5290.474941526077,-140.74646563850425
24,Micheal Azira,1,-8428.511623823711,-1597.4807161907033
25,Dominique Badji,3,-16267.28289740482,-1222.5920779513015
26,Corey Baird,1,-11796.229583851533,-1352.0154662912005
27,Botond Baráth,6,5494.808416213181,-1857.358713730359
28,Michael Barrios,4,-5403.12953200167,-733.1276964792329
29,Cole Bassett,3,-14398.280482303513,-813.8079878153642
30,DaMarcus Beasley,1,-9186.198962289021,808.7051173713414
31,Kyle Beckerman,6,9403.578098491818,-3143.0125744500706
32,Alejandro Bedoya,6,10075.271287418978,-2777.367322201827
33,Steven Beitashour,9,1880.3449218856733,-900.1409861094166
34,Leonardo Bertone,6,4689.362991474884,-1741.8545549232592
35,Matt Besler,2,19655.89602742146,-13.941697276192857
36,David Bingham,7,20641.4085401548,13749.188022702201
37,Steve Birnbaum,8,11930.991359621286,2075.208531974222
38,Tristan Blackmon,9,555.595495236015,1009.7365881517563
39,Andre Blake,0,2789.027317308058,7416.300485811784
40,Sebastián Blanco,8,14960.320695645276,857.7892122907148
41,Latif Blessing,6,6569.893252648571,-2121.1092120980393
42,Gustavo Bou,3,-16567.444112468696,-39.40067154213732
43,Michael Boxall,9,1821.0685319516406,-373.3452488593549
44,Michael Bradley,5,31656.964554405557,-2188.5217927689837
45,Bressan,4,-4395.618644660511,303.95118871941304
46,Frédéric Brillant,8,11085.855980701614,1408.3545810411997
47,Brandt Bronico,4,-4640.535760260785,-1112.7957723016543
48,Teal Bunbury,3,-15183.64064146724,-1002.6963918150066
49,Evan Bush,0,10211.468972829332,7318.9400217708035
50,Brandon Bye,9,1079.108612858388,4261.337485476526
51,Víctor Cabrera,9,440.1406636134847,6.5757914662706645
52,Luís Caicedo,9,-1569.3027778708793,-778.4405415621583
53,Scott Caldwell,1,-11620.078314980166,-91.40153160749324
54,Alexander Callens,8,12293.436010772297,809.7573206978802
55,Francisco Calvo,8,11286.074166121776,2310.1291043497577
56,Rudy Camacho,6,5294.239416786638,-1180.3994442913242
57,Reggie Cannon,9,3466.4832596123247,-1178.3265923188994
58,Russell Canouse,9,3991.997728336398,-1568.148314179203
59,Julio Cascante,4,-6132.135826675298,646.196680092847
60,Cristian Cásseres,1,-9332.983715692415,774.4793351561716
61,Valentín Castellanos,3,-16762.220215173176,-449.5653265453931
62,Edgar Castillo,4,-5574.430982072145,2650.6399222618597
63,Maxime Chanot,2,21203.688190099274,-963.0457738364537
64,Diego Chará,2,23414.894019354248,-2804.6064287754616
65,Laurent Ciman,9,996.9928846704382,-589.534220528167
66,Steve Clark,0,7243.912956912168,6071.237524345421
67,Derek Cornelius,4,-6225.405679528373,-382.00690788150166
68,Joe Corona,8,12547.115736107444,-2760.5645794826014
69,Maxime Crépeau,8,11391.22235480018,5949.051855977509
70,Yohan Croizet,3,-14032.552945317198,67.12399244864166
