Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Jeff Attinella\Jeff-Attinella,us USA,GK,Portland,29,1988,22,22,1944,23,1.06,85,65,0.741,10,7,5,8,36.4,1,1,0,0,1,1,2,2,22.2,0.25,1.2,0.06,161,385,41.8,477,151,47.2,41,194,82.5,57.2,228,27,11.8,15,0.69,14,Matches
2,Joe Bendik\Joe-Bendik,us USA,GK,Orlando City,28,1989,25,24,2218,58,2.35,131,80,0.595,6,2,16,1,4.2,6,5,1,0,5,3,8,2,49.2,0.35,-6.8,-0.28,133,367,36.2,506,108,47,41.2,205,62.9,51.5,215,12,5.6,16,0.65,13.8,Matches
3,David Bingham\David-Bingham,us USA,GK,LA Galaxy,28,1989,34,34,3060,65,1.91,170,115,0.653,13,9,12,8,23.5,8,6,1,1,6,2,3,3,57.7,0.31,-3.3,-0.1,329,765,43,848,111,60.6,46.3,293,85.7,62.2,273,20,7.3,23,0.68,14.1,Matches
4,Andre Blake\Andre-Blake,jm JAM,GK,Philadelphia,27,1990,33,33,2970,50,1.52,155,114,0.729,14,5,14,10,30.3,8,8,0,0,8,0,6,1,46.8,0.26,-2.2,-0.07,256,534,47.9,738,191,46.6,39.5,245,77.6,57.5,232,28,12.1,18,0.55,14.2,Matches
5,Alex Bono\Alex-Bono,us USA,GK,Toronto FC,23,1994,27,27,2430,45,1.67,128,88,0.688,9,6,12,3,11.1,6,5,1,0,5,1,3,0,39.9,0.28,-5.1,-0.19,161,480,33.5,683,159,46,38.8,224,74.1,56.6,217,20,9.2,30,1.11,15.5,Matches
6,Evan Bush\Evan-Bush,us USA,GK,Montreal,31,1986,34,34,3060,53,1.56,173,130,0.728,14,4,16,10,29.4,8,6,2,0,6,3,5,4,54.2,0.28,5.2,0.15,251,590,42.5,838,217,48.1,39.9,271,69,52.1,295,27,9.2,25,0.74,15.2,Matches
7,Paul Christensen\Paul-Christensen,us USA,GK,Atlanta,21,1996,1,0,54,2,3.33,3,1,0.333,0,0,0,0,,0,0,0,0,0,0,0,0,0.8,0.25,-1.2,-2.04,2,20,10,12,2,75,48.3,12,91.7,61.6,1,0,0,2,3.33,22.5,Matches
8,Steve Clark\Steve-Clark,us USA,GK,D.C. United,31,1986,3,3,270,6,2,22,16,0.727,1,0,2,1,33.3,0,0,0,0,0,0,1,0,4.7,0.21,-1.3,-0.44,25,61,41,111,11,30.6,33.1,32,84.4,56.6,48,1,2.1,2,0.67,17.2,Matches
9,Steve Clark\Steve-Clark,us USA,GK,Portland,31,1986,8,6,576,11,1.72,41,30,0.732,4,0,2,3,50,0,0,0,0,0,0,2,0,13.3,0.33,2.3,0.36,51,109,46.8,148,31,45.3,39.3,52,80.8,54.9,62,6,9.7,6,0.94,15.1,Matches
10,Stefan Cleveland\Stefan-Cleveland,us USA,GK,Chicago,23,1994,5,5,450,8,1.6,30,23,0.767,1,1,3,0,0,1,1,0,0,1,0,0,0,9.3,0.3,1.3,0.25,26,86,30.2,88,24,48.9,42,53,81.1,59,51,1,2,5,1,14.8,Matches
11,Tyler Deric\Tyler-Deric,us USA,GK,Houston,29,1988,2,2,180,7,3.5,13,7,0.538,0,0,2,0,0,1,1,0,0,1,0,3,0,4.7,0.3,-2.3,-1.17,9,38,23.7,48,11,54.2,45.3,17,70.6,55.2,15,1,6.7,1,0.5,15.3,Matches
12,Earl Edwards Jr.\Earl-Edwards-Jr,us USA,GK,Orlando City,26,1992,5,5,392,10,2.3,24,14,0.583,1,1,3,0,0,0,0,0,0,0,0,0,0,8.4,0.35,-1.6,-0.37,31,62,50,134,23,37.3,38.5,42,28.6,36.3,27,5,18.5,0,0,13.2,Matches
