Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
1,Jeff Attinella\Jeff-Attinella,us USA,GK,Portland,30,1988,10,10,900,24,2.4,60,38,0.65,1,2,7,0,0,3,3,0,0,3,0,2,0,24.4,0.38,0.4,0.04,79,180,43.9,222,79,47.7,40.2,96,77.1,54.3,97,8,8.2,3,0.3,13.3
2,Joe Bendik\Joe-Bendik,us USA,GK,Columbus,29,1989,6,6,540,12,2,25,13,0.56,0,1,5,0,0,1,1,0,0,1,0,0,0,8.5,0.3,-3.5,-0.59,21,68,30.9,116,22,37.9,37.9,52,46.2,48.6,40,4,10,2,0.33,14.5
3,David Bingham\David-Bingham,us USA,GK,LA Galaxy,29,1989,33,33,2970,55,1.67,183,136,0.732,16,3,14,8,24.2,8,6,2,0,6,0,4,4,57.5,0.29,6.5,0.2,295,633,46.6,702,132,56.4,44.2,326,72.7,55.8,296,31,10.5,11,0.33,13.2
4,Andre Blake\Andre-Blake,jm JAM,GK,Philadelphia,28,1990,26,26,2304,41,1.6,95,59,0.6,11,5,10,4,15.4,4,3,1,0,3,1,2,2,30.6,0.3,-8.4,-0.33,150,351,42.7,523,129,44,37.8,182,66.5,51.1,203,10,4.9,16,0.63,13.9
5,Alex Bono\Alex-Bono,us USA,GK,Toronto FC,24,1994,7,6,555,11,1.78,22,14,0.636,4,1,1,1,16.7,3,3,0,0,3,0,1,0,11,0.39,0,-0.01,24,75,32,120,30,40,36,44,61.4,47.7,44,5,11.4,7,1.14,16.3
6,Evan Bush\Evan-Bush,us USA,GK,Montreal,32,1986,32,32,2880,59,1.84,131,79,0.595,11,4,17,7,21.9,7,6,1,0,6,1,8,1,50.3,0.34,-7.7,-0.24,191,484,39.5,744,176,45,38.7,219,68,50.8,208,20,9.6,21,0.66,14.7
7,Steve Clark\Steve-Clark,us USA,GK,Portland,32,1986,24,24,2160,25,1.04,102,78,0.784,13,5,6,6,25,4,3,1,0,3,0,4,1,32.3,0.29,8.3,0.35,171,367,46.6,603,155,36.5,35.7,216,68.1,51.3,277,22,7.9,10,0.42,14
8,Carlos Coronel\Carlos-Coronel,br BRA,GK,Philadelphia,22,1996,4,3,319,2,0.56,11,8,0.818,3,0,0,2,66.7,0,0,0,0,0,1,0,0,3.2,0.31,1.2,0.34,23,64,35.9,78,20,52.6,42.4,23,100,65,36,5,13.9,1,0.28,11
9,Maxime Crépeau\Maxime-Crepeau,ca CAN,GK,Vancouver,24,1994,26,26,2340,46,1.77,153,112,0.745,7,6,13,5,19.2,7,7,0,0,7,1,5,3,43.4,0.25,0.4,0.02,213,482,44.2,637,123,46.3,38.4,311,60.1,48.8,367,30,8.2,12,0.46,11.2
10,Cody Cropper\Cody-Cropper,us USA,GK,New England,25,1993,7,7,630,17,2.43,42,26,0.643,2,1,4,1,14.3,2,2,0,0,2,0,2,0,16.8,0.39,-0.2,-0.03,39,89,43.8,132,39,37.1,37,52,76.9,55.3,47,1,2.1,12,1.71,16.5
