Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,PKMade,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,TotCmp,TotAtt,TotCmp%,TotDist,PrgDist,SbortCmp,ShortAtt,ShortCmp%,MedCmp,MedAtt,MedCmp%,LongCmp,LongAtt,LongCmp%,Ast,xA,A-xA,KP,3-Jan,PPA,CrsPA,Prog,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Clr,Err,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Fls,Fld,Off,PKwon,PKcon,OG,Recov,AerialWon,AerialLost,AerialWon%
1,Saad Abdul-Salaam\Saad-Abdul-Salaam,us USA,DF,NYCFC,26,1991,4,3,274,0,1,0,0,1,0,0,0.33,0.33,0,0.33,0.1,0.1,1,0.04,0.34,0.38,0.04,0.38,0,0,1,0,0,0,0.33,0,0,,0.1,0.1,0.12,-0.1,-0.1,153,180,85,2624,955,0,2,0,132,151,87.4,21,27,77.8,1,1,0,3,9,4,1,16,148,32,3,1,22,0,0,0,0,0,0,129,31,20,29,107,13,29,0,153,0,3,1,5,6,1.97,4,1,1,0,0,2,0.66,2,0,0,0,0,0,6,3,3,3,0,1,6,16.7,5,37,11,29.7,23,10,4,11,1,0,10,4,12,0,219,14,103,80,47,8,187,4,6,66.7,4,1,126,568,288,133,124,93.2,4,0,5,3,0,0,0,0,30,3,3,50
2,Mohammed Abu\Mohammed-Abu,gh GHA,MFDF,Columbus,26,1991,4,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.03,0.09,0.12,0.03,0.12,0,0,1,0,0,0,0.93,0,0,,0,0,0.03,0,0,75,92,81.5,1446,419,1,2,50,59,64,92.2,15,26,57.7,0,0.1,-0.1,4,7,4,2,12,91,1,0,0,19,5,7,0,0,0,0,65,7,20,81,6,4,1,0,75,0,3,4,1,6,5.57,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,,0,19,4,21.1,16,2,1,2,0,0,2,3,1,0,103,6,30,56,26,0,102,1,1,100,1,0,84,531,339,86,80,93,1,1,3,2,0,0,0,0,13,0,1,0
3,Lalas Abubakar\Lalas-Abubakar,gh GHA,DF,Columbus,23,1994,23,20,1771,1,0,0,0,3,0,0.05,0,0.05,0.05,0.05,0.9,0.9,0.1,0.05,0.01,0.05,0.05,0.05,0,0,8,2,0,25,0.41,0.1,0.13,0.5,0.9,0.9,0.11,0.1,0.1,906,1011,89.6,19147,6186,5,9,55.6,624,684,91.2,277,318,87.1,0,0.1,-0.1,3,30,1,0,35,992,19,14,0,141,17,0,0,0,0,0,810,83,118,83,816,76,5,4,906,2,14,10,6,8,0.41,6,0,0,1,1,1,0.05,0,0,0,0,1,0,29,19,22,6,1,12,26,46.2,14,156,49,31.4,126,28,2,37,17,0,20,44,124,1,1229,220,806,454,20,11,1213,1,3,33.3,2,0,789,3660,2195,776,761,98.1,2,3,26,8,0,1,1,1,233,47,29,61.8
4,David Accam\David-Accam,gh GHA,FWMF,Philadelphia,27,1990,23,13,1213,1,0,0,0,3,0,0.07,0,0.07,0.07,0.07,3.3,3.3,1,0.24,0.07,0.32,0.24,0.32,0,0,37,13,2,35.1,2.75,0.96,0.03,0.08,3.3,3.3,0.09,-2.3,-2.3,250,337,74.2,4242,967,1,13,7.7,214,270,79.3,35,54,64.8,0,1,-1,11,9,11,1,32,326,11,0,1,43,9,13,1,0,0,0,275,31,31,49,261,12,10,0,250,1,8,7,16,42,3.12,23,1,9,6,3,2,0.15,1,0,1,0,0,0,25,20,11,8,6,6,23,26.1,17,233,54,23.2,49,115,69,23,1,0,22,11,6,0,536,6,70,205,309,81,525,41,63,65.1,45,5,461,3394,2348,567,390,68.8,37,29,21,22,13,0,0,0,62,5,18,21.7
5,Danilo Acosta\Danilo-Acosta,us USA,DF,Real Salt Lake,20,1997,12,10,898,0,1,0,0,0,0,0,0.1,0.1,0,0.1,0.3,0.3,0.4,0.03,0.04,0.07,0.03,0.07,0,0,3,2,0,66.7,0.3,0.2,0,0,0.3,0.3,0.09,-0.3,-0.3,400,502,79.7,7372,2569,2,14,14.3,325,376,86.4,73,112,65.2,1,0.4,0.6,5,27,3,1,50,415,87,6,1,99,9,11,1,0,0,0,329,87,86,374,25,16,80,0,400,3,11,13,12,15,1.5,12,1,0,2,0,2,0.2,1,0,0,1,0,0,26,18,14,11,1,7,23,30.4,16,174,56,32.2,100,64,10,23,1,0,22,13,23,0,616,21,167,334,168,11,532,8,17,47.1,9,0,408,2176,1347,403,367,91.1,13,9,17,13,0,0,1,0,81,10,16,38.5
6,Kellyn Acosta\Kellyn-Acosta,us USA,MFFW,Colorado,22,1995,12,12,1039,2,2,0,1,3,0,0.17,0.17,0.35,0.17,0.35,2.1,1.4,1,0.18,0.09,0.27,0.12,0.21,0,1,20,5,3,25,1.73,0.43,0.1,0.4,2.1,1.4,0.07,-0.1,0.6,452,581,77.8,8981,2459,3,11,27.3,337,393,85.8,112,177,63.3,2,1,1,16,38,8,2,65,507,74,24,0,54,37,45,37,0,0,0,428,54,99,169,385,14,8,2,452,5,15,12,15,36,3.12,18,10,3,1,4,4,0.35,2,1,0,0,1,0,21,15,11,7,3,6,15,40,9,198,48,24.2,77,89,32,12,1,0,11,8,7,0,705,13,143,413,206,16,633,17,29,58.6,19,0,494,2687,1342,551,501,90.9,17,21,23,16,0,0,1,0,79,3,6,33.3
7,Kellyn Acosta\Kellyn-Acosta,us USA,MFFW,FC Dallas,22,1995,13,8,675,1,1,0,0,0,0,0.13,0.13,0.27,0.13,0.27,1.3,1.3,0.8,0.17,0.1,0.27,0.17,0.27,0,0,9,2,0,22.2,1.2,0.27,0.11,0.5,1.3,1.3,0.14,-0.3,-0.3,248,297,83.5,4600,1194,3,6,50,196,224,87.5,49,67,73.1,1,0.8,0.2,8,15,4,0,23,289,8,2,1,58,10,5,5,0,0,0,220,39,38,73,211,9,1,2,248,0,6,9,4,17,2.27,12,1,2,2,0,2,0.27,1,0,0,1,0,0,11,9,7,3,1,7,19,36.8,12,188,30,16,73,88,27,9,0,0,9,9,10,0,375,12,74,219,100,14,367,4,8,50,5,0,266,1204,475,314,280,89.2,17,10,10,9,0,0,0,0,46,1,10,9.1
8,Luciano Acosta\Luciano-Acosta,ar ARG,MF,D.C. United,23,1994,33,32,2746,10,15,0,0,3,0,0.33,0.49,0.82,0.33,0.82,5.3,5.3,8.4,0.17,0.28,0.45,0.17,0.45,0,0,61,25,2,41,2,0.82,0.16,0.4,5.3,5.3,0.09,4.7,4.7,1361,1765,77.1,21757,8411,24,74,32.4,1169,1393,83.9,168,298,56.4,15,8.4,6.6,61,167,62,7,270,1684,81,39,16,259,40,48,12,0,0,0,1408,143,214,318,1384,30,26,5,1361,4,23,55,62,141,4.62,103,3,18,5,11,28,0.92,22,0,4,0,1,1,57,39,22,24,11,11,63,17.5,52,598,143,23.9,109,300,189,36,1,0,35,20,10,0,2204,12,233,1226,915,112,2133,109,174,62.6,116,7,1901,9792,5996,2061,1752,85,74,84,62,63,10,0,0,0,224,3,8,27.3
9,Mo Adams\Mo-Adams,eng ENG,MF,Chicago,21,1996,14,10,883,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.1,0,0,,0,0,0.02,0,0,335,397,84.4,6218,1514,4,11,36.4,259,292,88.7,72,94,76.6,0,0,0,1,22,1,0,17,392,5,4,0,90,9,1,0,0,0,0,317,35,45,49,331,13,1,2,335,3,7,4,10,3,0.31,3,0,0,0,0,0,0,0,0,0,0,0,0,44,27,24,18,2,14,28,50,14,305,80,26.2,154,131,20,13,3,0,10,14,20,0,508,28,178,329,43,0,503,13,18,72.2,14,0,374,2150,904,344,320,93,11,11,21,3,0,0,0,0,80,1,4,20
10,Tyler Adams\Tyler-Adams,us USA,MF,NY Red Bulls,18,1999,27,26,2328,0,3,0,0,3,0,0,0.12,0.12,0,0.12,1.1,1.1,2.2,0.04,0.09,0.13,0.04,0.13,0,0,12,1,1,8.3,0.46,0.04,0,0,1.1,1.1,0.1,-1.1,-1.1,1054,1366,77.2,18022,6545,16,44,36.4,881,1064,82.8,157,258,60.9,3,2.2,0.8,14,132,18,2,157,1322,44,31,5,216,20,11,1,0,0,0,947,176,243,222,966,135,12,6,1054,9,24,25,29,43,1.66,38,1,0,2,2,10,0.39,8,1,0,0,1,0,54,37,14,29,11,23,70,32.9,47,615,184,29.9,172,329,114,77,8,0,69,68,25,0,1671,42,340,1022,417,33,1631,18,36,50,22,1,1040,5250,2463,1120,1005,89.7,25,26,44,47,0,0,0,0,375,30,34,46.9
