,Player,cluster,x,y
0,Brenden Aaronson\Brenden-Aaronson,2,-14029.065539049638,-976.0696079346503
1,Saad Abdul-Salaam\Saad-Abdul-Salaam,2,-11481.48491250499,573.7800156305989
2,Lalas Abubakar\Lalas-Abubakar,0,-4364.157234461642,877.4488170129428
3,Bryan Acosta\Bryan-Acosta,8,21380.719052896053,-4793.051763901609
4,Kellyn Acosta\Kellyn-Acosta,6,-2161.588138405342,-941.7395230875853
5,Luciano Acosta\Luciano-Acosta,6,2386.4557740289856,-724.1865818724337
6,Ali Adnan Kadhim\Ali-Adnan-Kadhim,3,7296.275757613627,724.3605144462776
7,Harrison Afful\Harrison-Afful,6,2042.6425304605161,1349.5090010138936
8,Juan Agudelo\Juan-Agudelo,2,-9540.735212592921,-1009.7065666648479
9,Tesho Akindele\Tesho-Akindele,5,-14872.41045869713,-1283.9549670079923
10,Osvaldo Alonso\Osvaldo-Alonso,8,16294.417839579603,-2538.4579285790364
11,Jozy Altidore\Jozy-Altidore,5,-15321.423236627308,-1163.629742373579
12,Fabio Álvarez\Fabio-Alvarez,2,-10955.513699216628,-1521.6871573395242
13,Frankie Amaya\Frankie-Amaya,2,-11498.622132050523,-927.3853818542202
14,Michael Amir Murillo\Michael-Amir-Murillo,0,-7140.871091942704,3407.5191704073973
15,Jalil Anibaba\Jalil-Anibaba,2,-8638.206697330987,1356.3413133258782
16,Uriel Antuna\Uriel-Antuna,2,-10089.84682822679,-1339.9522129912707
17,Luis Argudo\Luis-Argudo,5,-15945.743035074303,-436.9947264308374
18,Xavier Arreaga\Xavier-Arreaga,0,-6511.945169280131,84.31671393544701
19,Paul Arriola\Paul-Arriola,0,-6884.0032048622925,-458.5828297124045
20,Artur\Artur,8,15325.49914025107,-4748.739906462404
21,Carlos Ascues\Carlos-Ascues,5,-15946.30657003041,-289.2483678694632
22,Eduard Atuesta\Eduard-Atuesta,4,33605.460484066294,-3053.4346242504566
23,Auro\Auro,3,5290.474941526077,-140.74646563850425
24,Micheal Azira\Micheal-Azira,0,-8428.511623823711,-1597.4807161907033
25,Dominique Badji\Dominique-Badji,5,-16267.28289740482,-1222.5920779513015
26,Corey Baird\Corey-Baird,2,-11796.229583851533,-1352.0154662912005
27,Botond Baráth\Botond-Barath,3,5494.808416213181,-1857.358713730359
